title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Aparajito,movie,Drama,1956,tt0048956,8.2,16784,
"City Lights",movie,"Comedy, Drama, Romance",1931,tt0021749,8.5,206456,
"Cool Hand Luke",movie,"Crime, Drama",1967,tt0061512,8,194120,
"Pandora's Box",movie,"Crime, Drama, Romance",1929,tt0018737,7.7,12441,
"The Thomas Crown Affair",movie,"Crime, Drama, Romance",1968,tt0063688,6.9,29937,
"The Great Dictator",movie,"Comedy, Drama, War",1940,tt0032553,8.4,248324,
Bullitt,movie,"Action, Crime, Thriller",1968,tt0062765,7.4,78688,
"Dead Man",movie,"Adventure, Drama, Western",1995,tt0112817,7.5,105972,
"Dawn of the Dead",movie,"Action, Horror",2004,tt0363547,7.2,280762,
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,261453,
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,116886,
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,tt0120685,5.5,208504,
"The Pink Panther",movie,"Comedy, Crime, Romance",1963,tt0057413,7,59148,
"The Lady Vanishes",movie,"Crime, Drama, Mystery",1938,tt0030341,7.7,59273,
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,286164,
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,195219,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,183669,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,176513,
"Ice Age: The Meltdown",movie,"Adventure, Animation, Comedy",2006,tt0438097,6.8,307252,
"Kindergarten Cop",movie,"Action, Comedy, Crime",1990,tt0099938,6.3,168583,
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,457376,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,487677,
"Mission: Impossible II",movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,390724,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,403220,
"The Gold Rush",movie,"Adventure, Comedy, Drama",1925,tt0015864,8.1,123455,
Spartacus,movie,"Adventure, Biography, Drama",1960,tt0054331,7.9,147678,
"Seven Years in Tibet",movie,"Adventure, Biography, Drama",1997,tt0120102,7.1,161470,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,174631,
Eraserhead,movie,"Fantasy, Horror",1977,tt0074486,7.3,136634,
"Chimes at Midnight",movie,"Comedy, Drama, History",1965,tt0059012,7.6,10678,
Stagecoach,movie,"Adventure, Drama, Western",1939,tt0031971,7.8,56371,
"Mulholland Drive",movie,"Drama, Mystery, Thriller",2001,tt0166924,7.9,405910,
Sommersby,movie,"Drama, Mystery, Romance",1993,tt0108185,6.3,23966,
"The Hidden Fortress",movie,"Adventure, Drama",1958,tt0051808,8,43934,
"Elevator to the Gallows",movie,"Crime, Drama, Thriller",1958,tt0051378,7.9,30134,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1510394,
Dreamgirls,movie,"Drama, Musical",2006,tt0443489,6.6,78893,
Princesses,movie,Drama,2005,tt0434292,6.9,5809,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117627,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,88459,
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,118967,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173505,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,138247,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123707,
"Mr. Bean's Holiday",movie,"Comedy, Family",2007,tt0453451,6.4,138078,
300,movie,"Action, Drama",2006,tt0416449,7.6,889427,
TMNT,movie,"Action, Adventure, Animation",2007,tt0453556,6.2,70767,
Bean,movie,"Adventure, Comedy, Family",1997,tt0118689,6.5,113651,
"A Brief History of Time",movie,"Biography, Documentary",1991,tt0103882,7.3,6043,
"The Return of the King",movie,"Adventure, Animation, Family",1980,tt0079802,5.7,5206,
"The Hobbit",movie,"Adventure, Animation, Family",1977,tt0077687,6.7,17619,
Rocky,movie,"Drama, Sport",1976,tt0075148,8.1,658104,
"Rocky II",movie,"Drama, Sport",1979,tt0079817,7.3,239782,
"Rocky III",movie,"Drama, Sport",1982,tt0084602,6.8,219139,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,605817,
"Rocky IV",movie,"Drama, Sport",1985,tt0089927,6.9,235036,
"Rocky V",movie,"Drama, Sport",1990,tt0100507,5.4,155716,
Stalker,movie,"Drama, Sci-Fi",1979,tt0079944,8,150982,
"The Pursuit of Happyness",movie,"Biography, Drama",2006,tt0454921,8,589992,
"Sex, Lies, and Videotape",movie,Drama,1989,tt0098724,7.2,61986,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1483775,
"Once Upon a Time in Mexico",movie,"Action, Crime, Thriller",2003,tt0285823,6.3,173405,
"Superman Returns",movie,"Action, Adventure, Sci-Fi",2006,tt0348150,6.1,295821,
"Touch of Evil",movie,"Crime, Drama, Film-Noir",1958,tt0052311,7.9,112487,
Hellboy,movie,"Action, Adventure, Fantasy",2004,tt0167190,6.9,360693,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,239594,
